#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AH9,,IOBM,IO_L13P_14,UNUSED,,14,,,,,,,,,
AH10,,IOBS,IO_L4N_VREF_14,UNUSED,,14,,,,,,,,,
AH11,,IOBM,IO_L4P_14,UNUSED,,14,,,,,,,,,
AH12,,,GND,,,,,,,,,,,,
AH13,,IOBM,IO_L5P_30,UNUSED,,30,,,,,,,,,
AH14,,IOBM,IO_L3P_30,UNUSED,,30,,,,,,,,,
AH15,,IOBS,IO_L1N_30,UNUSED,,30,,,,,,,,,
AH16,,,TDO_0,,,,,,,,,,,,
AH17,,,VCCO_2,,,2,,,,,any******,,,,
AH18,,,GND,,,,,,,,,,,,
AH19,,,VCCINT,,,,,,,,1.0,,,,
AH20,,,GND,,,,,,,,,,,,
AH21,,,VCCINT,,,,,,,,1.0,,,,
AH22,,,GND,,,,,,,,,,,,
AH23,,,VCCINT,,,,,,,,1.0,,,,
AH24,,,GND,,,,,,,,,,,,
AH25,,,VCCINT,,,,,,,,1.0,,,,
AH26,,,GND,,,,,,,,,,,,
AH27,,,VCCINT,,,,,,,,1.0,,,,
AH28,,,M2_0,,,,,,,,,,,,
AH29,,IOBS,IO_L0N_29,UNUSED,,29,,,,,,,,,
AH30,,IOBM,IO_L0P_29,UNUSED,,29,,,,,,,,,
AH31,,IOBM,IO_L2P_29,UNUSED,,29,,,,,,,,,
AH32,,,GND,,,,,,,,,,,,
AH33,,IOBS,IO_L10N_CC_25,UNUSED,,25,,,,,,,,,
